Bel,Rus,Eng,Latitude,Longitude
Брэст,Брест,Brest,52.093751,23.685185099999998
Баранавічы,Барановичи,Baranavičy,53.1322925,26.0184156
Пінск,Пинск,Pinsk,52.1114306,26.1026086
Гарадзішча,Городище,Haradzišča,53.3311879,26.0016641
Амнявічы,Омневичи,Amniavičy,53.35502,25.90242
Арабаўшчына,Арабовщина,Arabaŭščyna,53.26343,26.04446
Боўцічы,Болтичи,Boŭcičy,53.36025,26.03468
Брыксічы,Брыксичи,Bryksičy,53.3343794,26.0162482
Вялікае Сяло,Великое Село,Vialikaje Sialo,53.31098,25.99897
Гаранавічы,Гарановичи,Haranavičy,53.35347,25.9134
Грыбаўшчына,Грибовщина,Hrybaŭščyna,53.3139,26.03846
Душкаўцы,Душковцы,Duškaŭcy,53.36162,25.94379
Зялёная,Зелёная,Zialionaja,53.36223,25.97108
Калдычэва,Колдычево,Kaldyčeva,53.27965,26.05631
Канюшоўшчына,Конюшовщина,Kaniušoŭščyna,53.35338,25.97829
Кісялі,Кисели,Kisiali,53.32935,25.97966
Мастытычы,Мостытычи,Mastytyčy,53.34858,25.96507
Мікулічы,Микуличи,Mikuličy,53.3834204,25.9392224
Насейкі,Насейки,Nasiejki,53.3633978,25.9559295
Паручын,Поручин,Paručyn,53.3645189,26.0020515
Пруды,Пруды,Prudy,53.356489,26.0646253
Станкевічы,Станкевичи,Stankievičy,53.29639,25.97503
Ясянец,Ясенец,Jasianiec,53.35021,26.03665
Вялікія Лукі,Великие Луки,Vialikija Luki,53.0121185,26.0427587
Грабавец,Грабовец,Hrabaviec,53.0892,26.05193
Кабушкіна,Кабушкино,Kabuškina,53.0449883,26.0743546
Капані,Копани,Kapani,53.0842589,26.0701511
Крыжыкі,Крыжики,Kryžyki,53.0657133,26.0642122
Малыя Лукі,Малые Луки,Malyja Luki,53.0193077,26.0454675
Новыя Лукі,Новые Луки,Novyja Luki,53.02774,26.06833
Русіно,Русино,Rusino,53.0830582,26.0923572
Янова,Яново,Janova,53.11126,26.0709
Азярэц,Озерец,Aziarec,53.29391,26.13991
Бартнікі,Бартники,Bartniki,53.3044141,26.180582
Вольна,Вольно,Voĺna,53.29983,26.22171
Галынка,Голынка,Halynka,53.2464643,26.3029776
Задзвея,Задвея,Zadzvieja,53.3077004,26.2758177
Залессе,Залесье,Zaliessie,53.2845845,26.1678765
Ліхасельцы,Лихосельцы,Lichasieĺcy,53.24644,26.31612
Нагорнае,Нагорное,Nahornaje,53.2532161,26.2711953
Ніжняе Чэрніхава,Нижнее Чернихово,Nižniaje Černichava,53.2480374,26.2855511
Рабковічы,Рабковичи,Rabkovičy,53.3089426,26.2565336
Росаш,Росошь,Rosaš,53.32352,26.19312
Савічы,Савичи,Savičy,53.28086,26.28488
Цішкоўцы,Тишковцы,Ciškoŭcy,53.21983,26.30024
Агароднікі,Огородники,Aharodniki,53.25442,25.88044
Багушы,Богуши,Bahušy,53.303,25.93984
Гірмантаўцы,Гирмантовцы,Hirmantaŭcy,53.27485,25.92319
Жабінцы,Жабинцы,Žabincy,53.2904951,25.9159193
Жалезніца,Железница,Žalieznica,53.26404,25.88963
Каўшы,Ковши,Kaŭšy,53.2418276,25.9247787
Крапачы,Крапочи,Krapačy,53.2862851,25.9562482
Красявічы,Красевичи,Krasiavičy,53.27082,25.9564
Лозы,Лозы,Lozy,53.33673,25.93314
Навінкі,Новинки,Navinki,53.29039,25.88079
Нагорная,Нагорная,Nahornaja,53.320412,25.9492676
Несцяры,Нестеры,Niesciary,53.3227441,25.9811411
Сакаловічы,Соколовичи,Sakalovičy,53.25545,25.92602
Слабажаны,Слобожаны,Slabažany,53.32386,25.90851
Сялявічы,Селявичи,Sialiavičy,53.29914,25.94413
Альбінкі,Альбинки,Aĺbinki,53.12911,25.73856
Бор,Бор,Bor,53.19717,25.74286
Важгінты,Важгинты,Važhinty,53.15443,25.75702
Гардзейчыкі,Гордейчики,Hardziejčyki,53.11538,25.74191
Дзекалы,Деколы,Dziekaly,53.12199,25.6911
Дзеткавічы,Детковичи,Dzietkavičy,53.11632,25.6941
Дубішча,Дубище,Dubišča,53.1561997,25.7824198
Жамчужны,Жемчужный,Žamčužny,53.135334,25.8760374
Звераўшчына,Зверовщина,Zvieraŭščyna,53.21065,25.70586
Небыты,Небыты,Niebyty,53.13495,25.77212
Пераносіны,Переносины,Pieranosiny,53.17469,25.72972
Сасновая,Сосновая,Sasnovaja,53.09212,25.74826
Свіраны,Свираны,Svirany,53.18867,25.71496
Сеўрукі,Севруки,Sieŭruki,53.13065,25.80405
Спачынак,Спочинок,Spačynak,53.1208566,25.8243872
Цівунцы,Тиунцы,Civuncy,53.10405,25.75582
Цяплівады,Тепливоды,Ciaplivady,53.149042,25.811352
Алізараўшчына,Олизаровщина,Alizaraŭščyna,53.355854,26.0879744
Быткоўшчына,Бытковщина,Bytkoŭščyna,53.3480978,26.1116854
Вызарак,Вызорок,Vyzarak,53.31047,26.09845
Высадавічы,Высадовичи,Vysadavičy,53.36643,26.18729
